"Interval start","Graph 1"
"157.300","47"
"157.400","38"
"157.500","30"
"157.600","44"
"157.700","43"
"157.800","32"
"157.900","63"
"158.000","60"
"158.100","35"
"158.200","34"
"158.300","62"
"158.400","63"
"158.500","56"
"158.600","51"
"158.700","79"
"158.800","33"
"158.900","53"
"159.000","31"
"159.100","46"
"159.200","43"
"159.300","57"
"159.400","49"
"159.500","51"
"159.600","50"
"159.700","54"
"159.800","44"
"159.900","58"
"160.000","67"
"160.100","62"
"160.200","45"
"160.300","70"
"160.400","64"
"160.500","91"
"160.600","47"
"160.700","80"
"160.800","57"
"160.900","112"
"161.000","65"
"161.100","99"
"161.200","90"
"161.300","52"
"161.400","71"
"161.500","69"
"161.600","87"
"161.700","83"
"161.800","68"
"161.900","75"
"162.000","55"
"162.100","65"
"162.200","61"
"162.300","60"
"162.400","41"
"162.500","77"
"162.600","38"
"162.700","53"
"162.800","42"
"162.900","66"
"163.000","48"
"163.100","91"
"163.200","41"
"163.300","68"
"163.400","62"
"163.500","58"
"163.600","37"
"163.700","76"
"163.800","49"
"163.900","30"
"164.000","66"
"164.100","44"
"164.200","44"
"164.300","50"
"164.400","56"
"164.500","63"
"164.600","35"
"164.700","70"
"164.800","20"
"164.900","75"
"165.000","58"
"165.100","56"
"165.200","69"
"165.300","65"
"165.400","57"
"165.500","45"
"165.600","16"
"165.700","133"
"165.800","53"
"165.900","49"
"166.000","62"
"166.100","43"
"166.200","69"
"166.300","75"
"166.400","36"
"166.500","64"
"166.600","37"
"166.700","53"
"166.800","56"
"166.900","47"
"167.000","63"
"167.100","47"
"167.200","37"
"167.300","69"
"167.400","31"
"167.500","49"
"167.600","30"
"167.700","77"
"167.800","72"
"167.900","59"
"168.000","77"
"168.100","97"
"168.200","63"
"168.300","102"
"168.400","74"
"168.500","94"
"168.600","100"
"168.700","119"
"168.800","77"
"168.900","120"
"169.000","75"
"169.100","106"
"169.200","129"
"169.300","61"
"169.400","73"
"169.500","82"
"169.600","70"
"169.700","63"
"169.800","46"
"169.900","89"
"170.000","47"
"170.100","94"
"170.200","67"
"170.300","67"
"170.400","64"
"170.500","65"
"170.600","77"
"170.700","91"
"170.800","106"
"170.900","75"
"171.000","36"
"171.100","88"
"171.200","66"
"171.300","68"
"171.400","77"
"171.500","91"
"171.600","51"
"171.700","91"
"171.800","71"
"171.900","101"
"172.000","65"
"172.100","84"
"172.200","83"
"172.300","94"
"172.400","51"
"172.500","106"
"172.600","34"
"172.700","105"
"172.800","69"
"172.900","78"
"173.000","92"
"173.100","93"
"173.200","59"
"173.300","104"
"173.400","43"
"173.500","126"
"173.600","36"
"173.700","88"
